%time,field.data
1569683677361121942,-0.757821605
1569683677361137347,-2.345842926
1569683677361285812,-2.404051985
1569683677361295183,-2.72241174
1569683677361503902,-2.715128672
1569683677361508127,-2.465385439
1569683677361647689,-2.427812239
1569683677361660735,-1.455935842
1569683677361803863,-1.434165617
1569683677361810106,1.732691571
1569683677361954825,1.899746135
1569683677361959897,3.275322399
1569683677362096771,3.26583531
1569683677362100718,3.162390678
1569683677362243225,3.152818432
1569683677362248713,2.95032948
1569683677362352912,2.931264378
1569683677362365091,2.737502551
1569683677362646218,2.710903056
1569683677362652403,1.991946052
1569683677362911129,1.925235694
1569683677362919034,-0.129440312
1569683677363029797,-0.201762775
1569683677363037148,-1.630776505
1569683677363175827,-1.636611868
1569683677363183068,-2.575334943
1569683677363310061,-2.570303621
1569683677363316022,-3.397240935
1569683677363655825,-3.394017714
1569683677363662031,-4.324104248
1569683677364056508,-4.323507052
1569683677364063522,-2.604016093
1569683677364217757,-2.47422058
1569683677364225551,2.841355836
1569683677364356623,2.87733049
1569683677364364222,3.813839257
1569683677364564906,3.80718545
1569683677364571656,2.762128528
1569683677364803949,2.691631972
1569683677364816469,1.533062871
1569683677365008251,1.529149541
1569683677365012106,1.721084473
1569683677365227233,1.693989803
1569683677365234158,0.245999866
1569683677365362209,0.159681373
1569683677365368935,-0.55269339
1569683677365731401,-0.546106006
1569683677365741613,0.18856134
1569683677366059852,0.166054427
1569683677366070136,-1.624584893
1569683677366193846,-1.629469009
1569683677366204179,-1.825114716
1569683677366374867,-1.824487878
1569683677366381909,-1.716209036
1569683677366488711,-1.695353696
1569683677366497454,-1.106213119
1569683677366646728,-1.034915309
1569683677366656884,0.551713997
1569683677366780667,0.596529267
1569683677366789650,2.65146727
1569683677366951100,2.656730256
1569683677366957457,2.871774085
1569683677367150931,2.870662411
1569683677367163333,2.542231978
1569683677367351442,2.528869778
1569683677367369430,2.003236004
1569683677367549133,2.003234203
1569683677367564356,0.756531124
1569683677367742413,0.749202583
1569683677367757239,-0.855123096
1569683677367930824,-0.907579736
1569683677367948161,-1.77608533
1569683677368070369,-1.769393086
1569683677368078833,-1.979347916
1569683677368273848,-1.973632986
1569683677368280511,-2.028725029
1569683677368353469,-2.037094539
1569683677368370068,-1.855760182
1569683677368601157,-1.770429194
1569683677368606523,0.817629923
1569683677368892845,0.863166342
1569683677368919885,2.735258028
1569683677368924639,2.829564412
1569683677368936739,3.428090405
1569683677369027698,3.42890853
1569683677369042520,3.561822866
1569683677369242173,3.516774417
1569683677369250202,3.725894051
1569683677369400040,3.670383877
1569683677369404701,2.971193252
1569683677369514390,2.974566313
1569683677369518373,2.386872118
1569683677369736003,2.283997491
1569683677369744336,0.63478815
1569683677369891294,0.617595589
1569683677369898304,-1.369983623
1569683677370314040,-1.445902984
1569683677370321799,-2.19460493
1569683677370603854,-2.194777865
1569683677370611021,-0.255336516
1569683677370879274,-0.232240874
1569683677370888329,1.97925997
1569683677371221243,2.022852899
1569683677371230712,1.326882381
1569683677371338444,1.303452952
1569683677371347043,-0.009045253
1569683677371465700,-0.089892286
1569683677371472987,-0.941833243
1569683677371543683,-0.962699174
1569683677371558641,-1.499883398
1569683677371749648,-1.516692007
1569683677371755126,-1.548938258
1569683677371817909,-1.553178662
1569683677371830743,-1.565007186
1569683677371921284,-1.55360718
1569683677371928802,-1.523366063
1569683677372061501,-1.481044395
1569683677372068434,-1.033223561
1569683677372217566,-1.026560089
1569683677372223715,0.20394396
1569683677372348021,0.229263774
1569683677372354943,1.781314421
1569683677372443497,1.817134263
1569683677372449401,1.337961542
1569683677372572667,1.330025851
1569683677372579885,1.090121204
1569683677372713596,1.085049619
1569683677372730390,1.17864545
1569683677372866857,1.174655187
1569683677372871260,0.969209492
1569683677373067380,0.967682225
1569683677373075531,0.00520828
1569683677373302801,-0.096527272
1569683677373311511,-0.772668515
1569683677373618486,-0.758663551
1569683677373625622,-0.35501998
1569683677373860225,-0.23978799
1569683677373868263,2.544721477
1569683677374025758,2.545983287
1569683677374032539,2.476923382
1569683677374213501,2.437208129
1569683677374227957,1.062426506
1569683677374377155,0.963957768
1569683677374382205,-1.615623277
1569683677374499205,-1.762685267
1569683677374504658,-3.34859307
1569683677374594920,-3.334362988
1569683677374606510,-4.433186864
1569683677374788367,-4.579569712
1569683677374802144,-5.302584415
1569683677374952586,-5.363644043
1569683677374961183,-5.457744484
1569683677375104562,-5.438673456
1569683677375110464,-5.137361698
1569683677375303610,-5.10744455
1569683677375309648,-2.728955746
1569683677375725545,-2.681887215
1569683677375733053,2.048220132
1569683677375938061,2.20817676
1569683677375946011,5.561966295
1569683677376197076,5.564984984
1569683677376206397,3.805993038
1569683677376415710,3.787023199
1569683677376424656,2.536844189
1569683677376739667,2.537353896
1569683677376748244,0.082675348
1569683677376995829,-0.030478903
1569683677377000780,-4.991035206
1569683677377141706,-5.010131355
1569683677377147708,-6.160598616
1569683677377287182,-6.074186079
